"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"""Você precisa de ajuda? <STOP>Eu posso pegar uma água, um lanche ou... hmm... um machado novo ou algo do tipo!""<PAGE>","""Do you need help? <STOP>I can get you water or lunch or...uh...a new axe or something!""<PAGE>","""¿Quieres que te ayude? <STOP>¿Te traigo agua, comida o... eh... un hacha nueva o algo?"".<PAGE>"
"O machado, pronto para dar mais um golpe instável, pausou no meio do ar. A senhorinha considerou a oferta de sua neta por um momento e então sorriu.","The axe, poised to strike another wobbly blow, paused in midair. The old woman considered her granddaughter's offer for a moment, then smiled.","El hacha, presta a ejecutar otro irregular tajo, se detuvo en el aire. La anciana reflexionó brevemente sobre el ofrecimiento de su nieta y sonrió."
"""Quer saber? Já que meu trabalho de corte tá horrível, por que você não vem aqui e assume para que eu possa pegar a água? <STOP>Ultimamente, as sombras têm estado inquietas e eu não quero que você encontre uma dessas merdas.""","""Tell you what. Since I'm doing such a piss-poor job of choppin', why don't you come here and take over so I can go get the water. <STOP>Shades have been restless lately, and I don't want you runnin' into one of them bastards.""","""Vamos a hacer una cosa. Como yo de hacha ya estoy hasta el chirri, ¿por qué no vienes y te pones tú mientras yo voy a por el agua? <STOP>Las Sombras no dan tregua últimamente y no me gustaría que te topases con una de esas hijas de puta""."
"Ao largar o machado, sua avó pegou um longo bastão com baldes de madeira em cada extremidade. <STOP>Recolher água era de longe o trabalho mais difícil dos dois, mas Kainé sabia muito bem disso e não iria reclamar. Quando sua avó decidia alguma coisa, não mudava de ideia nunca.","Relinquishing the axe, her grandmother picked up a long pole with wooden buckets on either end. <STOP>Gathering water was by far the more difficult of the two jobs, but Kainé knew better than to complain. Once Grandma's mind was set, there was no changing it.","Tras descartar el hacha, la abuela agarró una gran vara con cubos de madera en cada extremo. <STOP>Conseguir agua era, con diferencia, la tarea más complicada de las dos, pero Kainé sabía que no merecía la pena quejarse. La abuela era de ideas fijas, y eso era un hecho."
"Kainé fez o seu melhor para ajudar nas tarefas, mas sua avó assumiu todas as tarefas que exigiam viagens até a vila. <STOP>Embora ela tivesse uma longa lista de desculpas plausíveis, Kainé sabia o real motivo: Ela não queria que sua neta fosse zombada e assediada pelos aldeões.","Kainé did her best to help with chores, but Grandma took every task that required travel to the village. <STOP>Though she had a long list of plausible excuses, Kainé knew the real reason: She didn't want her granddaughter to be taunted and harassed by the villagers. ","Kainé hizo todo lo que pudo por ayudar, pero la abuela se encargó de todas las tareas para las que hacía falta ir a la aldea. <STOP>A pesar de que tenía una extensa lista de posibles excusas, Kainé conocía el verdadero motivo: no quería que los aldeanos acosaran a su nieta ni que se burlasen de ella. "
"Depois que Kainé chegou, a avó decidiu morar a uma certa distância de Aerie. <STOP>Ficar longe de tudo e todos parecia ser a melhor decisão quando se tratava dos aldeões e de sua neta. E raras eram as ocasiões em que outras pessoas, que não fossem elas, poderiam ser encontradas nas formações rochosas que chamavam de lar.","Once Kainé moved in, Grandma decided to take up residence a good distance from The Aerie. <STOP>Out of sight, out of mind seemed to be the best policy when it came to the villagers and her granddaughter, and rare were the days when any but the two of them could be found on the rocky acre of land they called home.","En cuanto Kainé se fue a vivir con la abuela, esta decidió instalarse a cierta distancia de Nido del Águila. <STOP>Tomar distancias con los demás le pareció lo mejor para proteger a su nieta, y raro era el día en que ambas se pasaban la jornada en el rocoso terreno al que habían nombrado su hogar."
"Kainé gostava da solidão, mas guardava um ressentimento secreto por sua avó ter que passar seus últimos anos em um lugar como aquele.","Kainé enjoyed the solitude, but harbored a secret resentment that her grandmother was forced to spend her golden years in such a place.","Kainé disfrutaba de la soledad, pero su corazón albergaba cierto resquemor al ver que su abuela se veía obligada a pasar allí sus años dorados."
"Depois de ver sua avó partir, Kainé voltou aos seus afazeres. Ela nunca havia cortado lenha na sua vida, e logo descobriu por que sua avó odiava essa tarefa.<LF><STOP>Golpes sucessivos do machado causaram apenas uma leve ranhura na madeira. Quando ela finalmente conseguiu conectar um golpe sólido, a ferramenta se alojou no tronco e recusou-se a sair.<LF><STOP>Frustrada, Kainé girou o machado ao redor de sua cabeça e o jogou junto com o tronco através do quintal.","After watching her grandmother leave, Kainé turned her attention to the task at hand. She had never chopped wood before in her life, and soon discovered why the old woman hated the chore. <LF><STOP>Swing after swing of the axe produced only a tiny crack in the wood, and when she finally managed to connect with a solid stroke, the tool embedded itself in the log and refused to budge.<LF><STOP>Frustrated, Kainé swung the axe around her head and threw it, log and all, across the yard.","Una vez que vio partir a su abuela, Kainé se volcó en la tarea que tenía entre manos. Jamás en su vida había cortado leña, mas pronto entendió que la anciana detestara hacerlo. <LF><STOP>Por muchos tajos que acertara a dar, solo conseguía rajar superficialmente la madera. Y cuando por fin logró asestar un buen golpe, la hoja quedó hendida en el tronco sin que hubiera manera de sacarla. <LF><STOP>Kainé, presa de la frustración, giró el hacha sobre su cabeza y la lanzó a través del patio, con tronco incluido."
"""Bosta! Droga! Ah... merda!""","""Damn! Dammit! Uh...crap!""","""¡Mierda! ¡Mierda! ¡Joder!"""
"Ela subitamente entendeu a alegria que sua avó sentia depois de falar um bom palavrão. <STOP>Mais feliz, ela pegou o machado, tirou ele do tronco de madeira e continuou a cortar. Ela tinha uma habilidade natural com a lâmina, mas a tarefa desafiadora logo formou bolhas em suas em suas pequenas e delicadas mãos.","She suddenly understood the joy her grandmother felt in a good curse. <STOP>Happier now, she picked up the axe, forced it from the wood, and resumed chopping. She had a natural skill with a blade, but the task was challenging, and blisters soon began to form on her small, pink hands.","De inmediato, experimentó el regocijo que sentía su abuela al despacharse a gusto. <STOP>Aliviada, recogió el hacha, consiguió separarla del tronco y siguió cortando leña. Tenía un talento natural para las cosas afiladas, pero la tarea era laboriosa y no tardaron en salirle ampollas en sus pequeñas manos rosadas."
"<FONT=ITALIC>Isso é difícil.</FONT> <STOP><FONT=ITALIC>E meus cepos estão com tamanhos estranhos.</FONT>","<FONT=ITALIC>This is tough.</FONT> <STOP><FONT=ITALIC>And my logs are all weird sizes. </FONT>","<FONT=ITALIC>Esto es una locura.</FONT> <STOP><FONT=ITALIC>Y solo consigo troncos de tamaños raros. </FONT>"
"Ao cuspir em suas mãos e ignorar a dor, Kainé redobrou seus esforços.","Spitting on her palms and ignoring the pain, Kainé redoubled her efforts.","Ignorando el dolor, se escupió en las manos y sacó fuerzas de donde no las había."
"Assim que ela estava pegando ritmo, a avó retornou da vila. <STOP>Apoiando os baldes no chão após um pequeno suspiro, ela deu uma olhada nas toras e tossiu uma risada sibilante. ""Muito desajeitada, garota! É melhor você praticar se...<LF>se você..."".","Just as she was developing a rhythm, Grandma returned from the village. <STOP>Setting down her buckets with a small sigh, she took one look at the logs and coughed out a wheezy laugh. ""Pretty clumsy, girl! You better practice if...<LF>if you...""","Cuando ya se estaba haciendo con la tarea, la abuela regresó de la aldea. <STOP>Tras soltar los cubos con un pequeño suspiro, observó los troncos y, no sin jadear, dejó escapar una risa. ""¡Hay que ver lo torpecilla que eres!<LF>Como no practiques más...""."
"Sua avó repentinamente caiu de joelhos, fazendo com que um dos baldes balançassem precariamente. <STOP>De olhos arregalados, Kainé largou o machado e correu para perto de sua avó.","Her grandmother suddenly collapsed to her knees, causing one of the buckets to wobble precariously. <STOP>Eyes wide, Kainé dropped the axe and ran to her grandmother's side.","De repente, la abuela cayó de rodillas, provocando que uno de los cubos se tambaleara precariamente. <STOP>Kainé, perpleja, soltó el hacha y se apresuró hacia su abuela."
"""Vovó!""","""Grandma!""","""¡Abuela!""."
"A senhora balançou a cabeça e apontou um dedo trêmulo para o balde.","The old woman shook her head and pointed a trembling finger at the bucket.","La anciana negó con la cabeza y, con un dedo tembloroso, señaló hacia el cubo."
"""Pega ... o balde ... N-não posso deixar derramar ...""","""Get...the bucket... C-can't let it spill...""","""Coge... el cubo... No dejes que se derrame...""."
"Kainé estabilizou o balde com o pé enquanto se ajoelhava ao lado de sua avó. Uma pequena porção de água espirrou para o lado e acabou molhando a barra de seu vestido, mas Kainé não notou.","Kainé steadied the bucket with a foot as she knelt by her grandmother. A small bit of water sloshed over the side and made a new home in the hem of her dress, but Kainé didn't notice.","De rodillas junto a su abuela, Kainé usó un pie para estabilizar el cubo. Algo de agua, que se desparramó por el borde, fue a parar al dobladillo de su vestido, aunque ella no reparó en el detalle."
"""Vovó? Vovó, o que está acontecendo!?""","""Grandma? Grandma, what's happening!?""","""¿Abuela? Abuela, ¡¿qué te pasa?!""."
"Enlouquecida pelo pânico, ela agarrou sua avó pelos ombros e a sacudiu. Depois de um momento, a mulher levantou os braços e afastou Kainé.","Crazed with panic, she grabbed her grandmother by the shoulders and shook. After a moment, the woman lifted her arms and batted Kainé away.","Presa del pánico, tomó a su abuela por los hombros y la agitó. Tras unos breves instantes, la mujer levantó los brazos y desplazó a Kainé."
"""P-para com isso! Só para!"" ela gritou, respirando com dificuldade.<LF><STOP>""Não é como se eu estivesse morrendo! <STOP>Só tô cansada da viagem.""","""S-stop that! Just stop!"" she cried, breathing heavily.<LF><STOP>""It ain't like I'm dying! <STOP>Just tired from the trip is all.""","""¡Q-quieta, niña! ¡Para ya!"", gritó mientras respiraba con dificultad.<LF><STOP>""¡Que no me voy a morir! <STOP>Solo vengo cansada de andar""."
"Kainé queria muito acreditar nela, mas ao olhar para as mãos trêmulas e o rosto enrugado daquela senhora, diziam mais do que palavras poderiam compreender. <STOP>Sua avó havia vivido uma vida longa e difícil, e parecia que a conta finalmente havia chegado.","Kainé desperately wanted to believe her, but one look at the old woman's shaking hands and worn face told her more than words ever could. <STOP>Her grandmother had lived a long, hard life, and it seemed the bill was finally coming due. ","Kainé deseó creerla con todas sus fuerzas, pero las manos temblorosas y el rostro desencajado de la anciana anunciaban otra cosa bien distinta. <STOP>La abuela tuvo una vida larga y complicada. Parecía que había llegado su hora. "
"Os dias da vovó que cuidava de Kainé estavam chegando ao fim. Mais cedo do que qualquer um deles temia, as posições seriam invertidas.","The time when her grandmother watched over Kainé was ending. Sooner than either of them had feared, the positions would be reversed.","Los tiempos en los que la abuela cuidaba de Kainé quedaban atrás. Antes de lo que ambas hubieran deseado, intercambiarían sus posiciones."
