"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Se eu puder visualizar onde estão os peixes, então sim.","If I can establish a line of sight with the fish, then yes.","Si puedo establecer contacto visual con los peces, sí."
"Bem, você consegue?","Well, can you?","Bueno, ¿y puedes o qué?"
"Er...não.","Er...no.","Eh... no."
"De volta à pesca, então.","Back to fishing, then.","A seguir pescando, entonces."
"Certamente.","Indeed.","Pues sí."
"Caramba, estou morrendo de fome.","Man, I am starving.","Buf, me muero de hambre."
"Uma cidade desse tamanho deve ter algum tipo de restaurante por perto.","A city of this size must have some manner of eatery nearby.","Una ciudad de este tamaño debería tener una fuente de alimento cerca."
"É fascinante como a culinária gourmet pode sobreviver mesmo em meio a uma escassez de alimentos.","It is fascinating how gourmet cuisine can survive even in the midst of a food shortage.","Es fascinante cómo la alta cocina sobrevive incluso durante las hambrunas."
"Você quer tentar a sorte nesse trabalho, Kainé?","You want to try your hand at this job, Kainé?","¿Quieres probar suerte con esta tarea, Kainé?"
"Cê tá falando sério? Porra nenhuma.","Are you serious? Hell no.","¿Lo dices en serio? Ni de coña."
"Ah! Vadias só servem para quebrar coisas, de qualquer forma.","Pah! Hussies are only good for breaking things, anyway.","¡Bah! Las frescas solo valen para destrozar cosas."
"Talvez eu comece com você.","Maybe I'll start with you.","Puede que empiece contigo."
"Este é um jogo estranho.","This is one strange game.","Qué juego tan extraño."
"Esta é uma cidade estranha.","This is one strange city.","Qué ciudad tan extraña."
"Isso... Não é mentira! Heh.","That's...not untrue! Heh.","¡No... te falta razón! Je."
"Ah, falando nisso...","Ah, speaking of which...","Ah, ahora que lo dices..."
"O quê?","What?","¿Qué?"
"Creio que você não tenha esquecido da mensagem?","I trust you have not forgotten the message?","Espero que no hayas olvidado el mensaje."
"Vamos ver...","We'll see...","Ya veremos..."
"Essas regras são completamente absurdas!","These rules are absolutely preposterous!","¡Estas reglas son totalmente absurdas!"
"A pessoa sequer consegue nos dizer o que devemos comprar!? Nunca vi tanta tolice na minha vida!","That person cannot even tell us what they wish us to purchase!? Never in my life have I seen such foolishness!","¿No puede ni decirnos lo que quiere que compremos? ¡Es ridículo!"
"Ah, isso não é nada demais.","Ah, it's no big deal.","Venga, no es para tanto."
"Por favor. Isso não está te incomodando!?","Come now. This must bother you!?","No me digas que no te molesta..."
"Claro, um pouquinho. Mas confio que eles tenham uma razão para isso, mesmo que não entendamos.","Sure, a little—but I trust they have a reason for it, even if we don't understand.","Sí, un poco... Pero tendrán sus motivos para hacerlo."
"Isso é algo bem mente aberta de se dizer... Você está se sentindo bem?","That is a very broad-minded thing to say. ...Are you feeling well?","Vaya, te noto muy abierto de mente... ¿Te encuentras bien?"
"Isso foi quase um elogio.","That was almost a compliment.","Je. Eso ha sido casi un cumplido."
"Ele realmente acha que vai ser perdoado só por dar uma pele pra ela?","Does he really think she'll forgive him if he just gives her a fur?","¿De verdad piensa que lo perdonará si le regala un abrigo de piel?"
"Isso parece, de certa forma, materialista.","It does seem somewhat materialistic.","La verdad es que me parece muy materialista."
"Quando alguém me dá algo de graça, eu fico feliz como um pinto no lixo!","Are you guys for real? When someone gives me something for free, I'm happy as a pig in shit!","¿Estáis de coña? ¡Un regalo sin pedir nada a cambio es la hostia!"
"Este mundo seria muito mais simples se só existissem Kainés nele.","This world would be a great deal simpler if nothing but Kainés lived in it.","El mundo sería un lugar mucho más sencillo si solo existieran Kainés."
"Vou fingir que isso é um elogio.","I'll pretend that's a compliment.","Lo tomaré como un cumplido."
,,
"Fique de olho nas Sombras!","Keep an eye on the shadows!","¡No pierdas de vista las zonas de sombra!"
"Mire nos pontos fracos na palma das mãos deles!","Aim for the weak spots on the palms of its hands!","¡Apunta a sus puntos débiles en la palma de las manos!"
"Mire quando a boca estiver aberta!","Take aim once its mouth is agape!","¡Apunta cuando tenga la boca abierta!"
"Faça-o engolir uma dessas bombas!","Try feeding it one of those bombs!","¡Trata de meterle una de esas bombas!"
"Onde eu já ouvi esse plano antes...","Where have I heard that plan before...","¿Dónde habré oído ese plan antes...?"
"Agora! Acabe com o sofrimento dessa coisa!","Now! Put it out of its misery!","¡Ahora! ¡Mándalo al descanso eterno!"
"Bem, isso foi incomum.","Well, that was unusual.","Vaya, eso no me lo esperaba."
"Vamos lá, temos que ajudá-lo!","Come on, we have to help him!","¡Venga, tenemos que ayudarlo!"
"Ou poderíamos simplesmente fingir que não o vimos.","Or we could simply pretend we didn't see him instead.","O podríamos hacer como que no lo hemos visto."
"Emil! Você está bem? Você não pode continuar lutando nesse estado.","Emil! Are you okay? You can't keep fighting like this.","¡Emil! ¿Estás bien? No puedes seguir luchando en ese estado."
"Eu preciso... Não há outra escolha!","I have to... There's no other choice!","Tengo que hacerlo... ¡No queda alternativa!"
"Senão, por que eu teria vindo aqui?","Otherwise why did I even come here?","¿Para qué he venido si no?"
"Vaza daqui, Emil!","Get outta here, Emil!","¡Largo de aquí, Emil!"
"Não! Não vou abandonar essas pessoas!","No! I won't abandon these people now!","¡No! ¡No pienso abandonar a esta gente ahora!"
"Uma vez você disse que meus olhos tinham valor e que eu não devia ter vergonha deles!","You told me once that my eyes had value, and that I shouldn't be ashamed of them!","Me dijiste que mis ojos eran valiosos, ¡que no debía avergonzarme de ellos!"
"Você me disse que até uma vida como a minha tinha um propósito!","You told me that even a life like mine had purpose!","Me aseguraste que incluso alguien como yo tenía un propósito."
"Então não vou ficar sentado e deixar você lutar enquanto eu fico atrás!","So I won't just sit around and let you fight while I stay behind!","¡Así que no esperes que me quede de brazos cruzados mientras tú luchas!"
"Emil...","Emil...","Emil..."
"Só tenta não morrer.","Just don't die on me.","haz el favor de no morirte."
"Eu não vou, Kainé! Vamos cuidar desses montes de merda!","I won't, Kainé! Let's take care of these shit-hogs!","Descuida, Kainé. ¡Vamos a por esos bastardos!"
"Gostei dessa!","I like it!","¡Bien dicho!"
"Não podemos permitir que mais Sombras entrem aqui!","We can't let any more Shades in here!","¡Que no entren más Sombras!"
"Malditas Sombras! Sumam daqui!","Damn Shades! Go away!","¡Argh! ¡Sombras! ¡Largo!"
"Morram, bestas imundas!","Die, you foul beasts!","¡Morid, bestias inmundas!"
,,
"Oh não, Sombras na biblioteca... Yonah!","Oh no, Shades in the library. ...Yonah!","Oh, no, hay Sombras en la biblioteca... ¡Yonah!"
"Parece que nossa tarefa será mais difícil do que eu imaginava.","It seems our task is going to be more difficult than I first envisioned.","Parece que la misión va a resultar más complicada de lo que pensaba."
"Aquela pobre menina...","That poor girl...","Pobre chica..."
"Kainé poderia ter levado uma vida normal se não fossem aquelas terríveis Sombras.","Kainé could've led a normal life if not for those terrible Shades.","Si no fuera por esas horribles Sombras, Kainé habría llevado una vida normal."
"É tudo culpa <FONT=ITALIC>dela</FONT>...","It's all <FONT=ITALIC>her</FONT> fault...","Es todo por <FONT=ITALIC>su</FONT> culpa..."
"Kainé...","Kainé...","Kainé..."
"Se possuíssemos ao menos metade da coragem que Kainé mostrou...","If only we possessed half the courage that Kainé has shown...","Ojalá tuviéramos la mitad del arrojo que ha demostrado Kainé..."
"Sozinhos não somos fortes...","We're powerless on our own...","Estamos indefensos sin ayuda..."
"Kainé salvou a vila...","Kainé saved the village...","Kainé salvó la aldea..."
"Por acaso você já quis se teleportar até seu cliente logo após pegar as coisas dele?","You ever wish you could just warp back to the client after you get their stuff?","¿No te gustaría materializarte frente al cliente tras conseguir su material?"
"""Teletransporte""?","""Warp""?","¿Materializarme?"
"Sim, é aparentemente um tipo de magia que pode te transportar instantaneamente para lugares distantes.","Yeah, it's apparently a kind of magic that can zap you to faraway places in an instant.","Sí, transportarte mágicamente de un sitio a otro muy lejano al instante."
"Ah, aquela magia. Bem, eu ficaria longe de tal coisa se fosse você, rapaz.","Ah, that one. Well, I would stay away from such devilry were I you, lad.","Ah, eso. Yo de ti no me metería en semejante diablura, chaval."
"Por quê?","How come?","¿Y eso?"
"Porque todos os sábios que tentaram tal feitiço foram reduzidos a carne moída ao se chocarem com algo pelo caminho.","Because all of the sages who attempted said spell were reduced to mincemeat when they struck obstacles in their path.","Porque todos los sabios que lo intentaron acabaron hechos picadillo."
"Uh... wow. Tudo bem, então! O jeito é ir à pé.","Uh...wow. All right, then! Walking it is.","Hala... ¡Pues no se hable más! A patita."
"Uma escolha excelente!","An excellent choice!","¡Una decisión excelente!"
"Kainé...","Kainé...","Kainé..."
"Kainé salvou a vila...","Kainé saved the village...","Kainé salvó la aldea..."
"Sozinhos não somos fortes...","We're powerless on our own...","Estamos indefensos sin ayuda."
"Como a brisa do mar é maravilhosa, não é mesmo?","The sea breeze sure feels lovely, doesn't it?","Qué agradable es la brisa del mar, ¿verdad?"
"Ultimamente não tenho pescado nada... Eu gostaria de poder pelo menos me alimentar.","I can't catch a thing lately... I wish I could at least eat my fill sometimes.","Últimamente no pican nada... Ojalá pudiera comer hasta saciarme por lo menos."
"Eu não consigo... continuar...","I can't...go on...","No puedo... seguir..."
"Eu tenho que... Salvar Yonah...","I have to...save Yonah...","Tengo que... salvar a Yonah..."
"Eu ainda posso... Lutar...","I can...still fight...","Todavía... puedo combatir..."
"Yonah!?","Yonah!?","¡¿Yonah?!"
"Vamos até a praia que o pescador mencionou.","Let's head over to that beach the fisherman mentioned.","Vamos a la playa que mencionó el pescador."
"Fique atento ao redor!","Keep a keen eye on your surroundings!","¡Fíjate bien en el entorno!"
"Fique para trás! É perigoso!","Stay back! It's dangerous!","¡Atrás! ¡Es peligroso!"
