"Salvar?","Save?","¿Guardar?"
"Do Escritório do Chefe de Aerie<LF>Para: Popola<LF><LF>Minhas saudações para você e sua vila. Espero que tudo esteja indo bem.<LF><LF>Nossa vila se isolou do mundo por muitos anos,<LF>e por isso decidimos que é hora de mudar nossos caminhos.<LF>Como parte desse esforço, resolvemos estabelecer uma loja<LF>dentro da vila. Ela está aberta para negócios agora e esperamos<LF>receber muitos clientes de todo o mundo.<LF><LF>Com relação à palavra-chave ""sacrifício"" que você mencionou, um de nossos aldeões afirmou saber o significado por trás do termo. Fique à vontade para falar com ele sobre o assunto quando visitar Aerie.<LF><LF>Espero ouvir de você em breve.","From The Office of the Chief of The Aerie<LF>To: Popola<LF><LF>My greetings to you and your village. I hope everything is going well.<LF><LF>Our village has shut itself away from the world for far too many years,<LF>and we have therefore decided it is time to change our ways.<LF>As part of this endeavor, we have resolved to establish a shop<LF>within the village. It is now open for business, and I look forward<LF>to seeing a great many customers visit from all over the world.<LF><LF>With regards to the ""sacrifice"" keyword you wrote about, one of our villagers claimed to know the meaning behind the term. You are more than welcome to speak with him on the matter as part of your visit to The Aerie.<LF><LF>I hope to hear from you again soon.","De la Oficina del jefe de Nido del Águila<LF>Para: Popola<LF><LF>Saludos. Espero que se encuentren todos bien.<LF><LF>Como sabe, nuestra aldea ha estado cerrada al mundo durante muchos<LF>años, y hemos decidido que es hora de que eso cambie. Como parte de esta iniciativa, resolvimos montar una tienda en la aldea que ya está abierta. Espero ver una gran afluencia de clientes de todo el mundo.<LF><LF>En relación a la palabra clave ""sacrificio"", uno de nuestros aldeanos dice conocer su significado. Será bienvenida si desea hablar con él sobre este asunto como parte de su visita a Nido del Águila.<LF><LF>Espero volver a tener noticias suyas pronto."
"Relatório do Projeto Gestalt 0923<LF><LF>Como observado no relatório anterior, a implementação do modo Gestalt<LF>pode prevenir a Síndrome da Cloração Branca que vivemos recentemente.<LF>A transferência de informações corporais para os Replicantes reprimidos pela civilização<LF>está progredindo como planejado, com os genes dos Originais armazenados com segurança. <LF><LF>Nosso papel como androides de vigilância para nos prepararmos para quando a incurável<LF>doença bacteriana desaparecer também está em andamento.<LF>Até agora, isso está progredindo sem problemas.<LF><LF>Observador: 021 Codinome: Popola","Project Gestalt Report 0923<LF><LF>As noted in the previous report, implementation of Gestalt mode<LF>can prevent the white chlorination syndrome we recently experienced.<LF>Transfer of bodily information to civilization-repressed Replicants is<LF>proceeding as planned, with the genes of the Originals safely stored inside. <LF><LF>Our role as surveillance androids to prepare for when the incurable<LF>bacterial disease eventually dies out is also underway.<LF>So far, this is proceeding without issue.<LF><LF>Observer: 021   Codename: Popola","Informe del proyecto Gestalt 0923<LF><LF>Como se indicó anteriormente, la implementación del modo Gestalt puede evitar el síndrome de cloración blanca. La transferencia de información corporal a los replicantes está en marcha; los genes de los originales están a salvo dentro. <LF><LF>Nuestra función como androides de vigilancia de prepararnos para cuando la incurable enfermedad bacteriana desaparezca, continúa sin incidentes.<LF><LF>Supervisora: 021   Nombre en clave: Popola"
"Relatório do Projeto Gestalt 9182<LF><LF>Este documento discute estratégias potenciais para os casos de recaída que temos observado nos últimos anos. O termo ""recaída"", é claro, refere-se à perda catastrófica de sentiência vista em certos Gestalts. Esta síndrome desafiou até mesmo nossas estimativas iniciais mais pessimistas e continua a aumentar com uma velocidade perturbadora.<LF><LF>Com alguns Gestalts em recaída começando a atacar Replicantes, há uma necessidade urgente de tomar medidas abrangentes. Continuamos convencidos de que um defeito tecnológico desconhecido no processo de transformação Gestalt é responsável pela condição, mas até agora não fomos capazes de confirmar essa teoria.<LF><LF>A pesquisa dessa condição agora é nossa principal prioridade e parece provável que continue a ser por algum tempo.<LF><LF>Observador: 022 Codinome: Devola","Project Gestalt Report 9182<LF><LF>This document discusses potential strategies for the relapse cases we have observed in recent years. The term ""relapse,"" of course, refers to the catastrophic loss of sentience seen in certain Gestalts. This syndrome has defied even our most pessimistic initial estimates, and continues to trend upward with disturbing speed.<LF><LF>With some relapsed Gestalts beginning to attack Replicants, there is an urgent need to take comprehensive action. We remain convinced that an unknown technological defect in the Gestalt transformation process is responsible for the condition, but so far have been unable to confirm this theory.<LF><LF>Research of this condition is now our top priority, and looks likely to continue for some time.<LF><LF>Observer: 022   Codename: Devola","Informe del proyecto Gestalt 9182<LF><LF>Este documento expone posibles estrategias ante las ""recaídas"" o pérdidas de conciencia percibidas en ciertos Gestalts. Tras el ataque de varios Gestalts afectados a replicantes, es necesario tomar medidas urgentes. Puede deberse a un defecto en la transformación tecnológica del Gestalt. Investigar esta afección es nuestra máxima prioridad.<LF><LF>Supervisora: 022   Nombre en clave: Devola"
"Relatório do Projeto Gestalt 10432<LF><LF>Minutos resumidos da Reunião Especial do Comitê 23 (Conferência de Resposta de Emergência)<LF><LF>Problema: Tendência crescente de recaídas observadas (notado e discutido).<LF>Problema: Aceleração do cronograma de restauração (aprovado).<LF>Relatório: Debate sobre o uso do codinome ""Noir"" para o cronograma de restauração humana.<LF>Relatório: Preparativos para lançar o sistema de decodificação ""Weiss"" acima mencionado.<LF>Relatório: Coleta de orientações e códigos de liberação para <NIER> juntamente com o lançamento de Weiss.<LF><LF>Observador: Codinome 021: Popola<LF>Observador: Codinome 022: Devola","Project Gestalt Report 10432<LF><LF>Shorthand Minutes of Case 23 (Emergency Response Conference) Committee Special Meeting<LF><LF>Issue: Observed upward trend in relapses (noted and discussed).<LF>Issue: Acceleration of restoration schedule (approved).<LF>Report: Debate over using codename ""Noir"" for human restoration schedule.<LF>Report: Preparations to launch ""Weiss"" decoding system for above.<LF>Report: Order collection of guidance and release code for <NIER> alongside Weiss launch.<LF><LF>Observer: 021   Codename: Popola<LF>Observer: 022   Codename: Devola","Informe del proyecto Gestalt 10432<LF><LF>Acta de la reunión especial del comité del caso 23.<LF><LF>Asunto: aumento de recaídas (anotado y debatido). Asunto: aceleración del esquema de restauración (aprobado). Informe: Uso del nombre ""Noir"" para el plan de restauración humana.<LF>Informe: Preparativos para ejecutar el sistema ""Weiss"".<LF>Informe: Guía y código de <NIER> y ejecución de Weiss.<LF><LF>Supervisora: 021   Nombre en clave: Popola<LF>Supervisora: 022   Nombre en clave: Devola"
"Relatório do Projeto Gestalt 11242<LF><LF>Concluímos que o aumento de recaídas se deve a um pico inesperado na consciência dos Replicantes, bem como a uma instabilidade genética dentro do Gestalt original. (Parece que o efeito do Original em corpos que passaram pelo processo Gestalt não foi previsto com antecedência.)<LF><LF>Ações imediatas devem ser tomadas para identificar as conexões entre essa tendência e o Gestalt original—juntamente com sua irmã, o caso de recaída conhecido como Yonah.<LF><LF>O Grupo de Contato do Observador está ficando inquieto, portanto encontrar uma solução para o problema de recaídas deve ser considerado prioridade máxima. (Consulte outros relatórios para obter mais detalhes.)<LF><LF>Observador: 021 Codinome: Popola","Project Gestalt Report 11242<LF><LF>We have determined that the rise of relapses was due to an unexpected spike in the sentience of Replicants, as well as a genetic instability within the original Gestalt. (It seems the Original's effect on bodies that have undergone the Gestalt process was not anticipated in advance.)<LF><LF>Immediate action must be undertaken to identify the links between this trend and the original Gestalt—along with its sister, the relapsed case known as Yonah.<LF><LF>The Observer Contact Group is growing uneasy, so finding a solution to the relapse issue should be considered a top priority. (See other reports for more details.)<LF><LF>Observer: 021   Codename: Popola","Informe del proyecto Gestalt 11242<LF><LF>Hemos determinado que el aumento de recaídas se debe a<LF>un repunte inesperado de la conciencia de los replicantes, además de<LF>inestabilidad genética en el Gestalt original.<LF><LF>Deben identificarse los vínculos entre esta tendencia y el Gestalt original,<LF>junto con su hermana, el caso de recaída conocido como Yonah.<LF><LF>Los supervisores están inquietos, así que solucionar el problema de las<LF>recaídas es una prioridad.<LF><LF>Supervisora: 021 Nombre en clave: Popola"
"Relatório do Projeto Gestalt 11242<LF><LF>Concluímos que o aumento de recaídas se deve a um pico inesperado na consciência dos Replicantes, bem como uma instabilidade genética no Gestalt original. (Parece que o efeito do Original em corpos que passaram pelo processo Gestalt não foi antecipado com antecedência.)<LF><LF>Ação imediata deve ser tomada para identificar as conexões entre essa tendência e o Gestalt original - juntamente com sua irmã, o caso de recaída conhecido como Yonah.<LF><LF>O Grupo de Contato do Observador está ficando inquieto, portanto encontrar uma solução para o problema da recaída deve ser considerado uma prioridade máxima. (Consulte outros relatórios para obter mais detalhes.)<LF><LF>Observador: Codinome 021: Popola","Project Gestalt Report 11242<LF><LF>We have determined that the rise of relapses was due to an unexpected spike in the sentience of Replicants, as well as a genetic instability within the original Gestalt. (It seems the Original's effect on bodies that have undergone the Gestalt process was not anticipated in advance.)<LF><LF>Immediate action must be undertaken to identify the links between this trend and the original Gestalt—along with its sister, the relapsed case known as Yonah.<LF><LF>The Observer Contact Group is growing uneasy, so finding a solution to the relapse issue should be considered a top priority. (See other reports for more details.)<LF><LF>Observer: 021   Codename: Popola","Informe del proyecto Gestalt 11242<LF><LF>Hemos determinado que el aumento de recaídas se debe a<LF>un repunte inesperado de la conciencia de los replicantes, además de inestabilidad<LF>genética en el Gestalt original.<LF><LF>Deben identificarse los vínculos entre esta tendencia y el Gestalt original,<LF>junto con su hermana, el caso de recaída conocido como Yonah.<LF><LF>Los supervisores están inquietos, así que solucionar el problema de las<LF>recaídas es una prioridad.<LF><LF>Supervisora: 021 Nombre en clave: Popola"
"Este é o mundo do receptáculo reciclado, criado para evitar a destruição de tudo.","This is the world of the recycled vessel, created to avoid the destruction of all.","Este es el mundo de los receptáculos vacuos, creado para evitar la destrucción total."
"Rabisco Negro. Um destino perdido. Um livro branco. Uma falsa verdade.","The Black Scrawl. A lost destiny. A white book. A false truth.","La necrosis rúnica. Un destino perdido. Un libro blanco. Una falsa verdad."
"Um soldado de sal convocando a morte branca. Ele é Legião, o homem que mergulhou o mundo na escuridão.","A soldier of salt calling forth white death.<LF>He is Legion, the man who plunged the world into darkness.","Un soldado de sal llamando a la muerte blanca.<LF>Ese que hizo que el mundo se sumiera en la oscuridad se hace llamar Legión."
"O cadáver do dragão trouxe a morte ao mundo, trazendo consigo o poder do diabo.","The dragon's corpse brought death to the world, delivering unto it the power of the devil.","El cadáver del dragón, con el poder del diablo,<LF>inundó de muerte el mundo."
"O Rabisco Negro mancha o futuro. Eles viajam para retornar aos receptáculos sem alma.","The black sickness stains the future. They journey to return to soulless vessels.","La enfermedad negra mancha el futuro. Parten para regresar como receptáculos sin alma."
"O apocalipse dividiu o mundo em dois: <LF>um que não conhece o dia e outro que nunca viu a noite.","The apocalypse divided the world in two: <LF>one that knows not day, and one which has never seen the night.","El apocalipsis dividió al mundo en dos: <LF>uno que no conoce el día y otro que jamás ha visto la noche."
